西方哲学流派及其反思,MARX026614
中医药与健康,SLSE016114
影视制作2,2583045
天然高分子改性材料及应用,1083011
绩效管理,2673035
软件工程,3243490
液压传动与控制（双语）,3273539
职场压力管理,3273302
自然的启迪：材料与力学,MYSC001215
十一人制足球理论与实践,PHYE001515
马克思主义哲学原理,MARX022812
隧道工程,0173136
单片机原理,3273118
改变从觉知开始：U型体验与感悟,SPAL013614
货物学,0571007
现代控制理论,3132500
铁道概论,CIVE014014
高电压技术,3045680
全球视野下的城市与区域发展,SPAL008315
爱上双人舞——两性交往和相处的艺术,MYSC003015
学士学位项目（毕业设计）,XJEL3875
语言学研究（双语）,3273794
材料成型加工技术基础A,1043861
军事技能,PAFD000211
应用写作,2571048
认知实习,MARX025813
微生物学实验,1671081
矿产勘查理论与方法,2173087
毕业设计（论文）-交通工程,0573053
医疗器械生物学评价与质量控制,1000401
面向对象程序设计,SIST001612
数字信号处理,1371006
岩土工程勘察实验及课程设计,3271046
翻译理论与实践AI,3273666
城轨供电系统继电保护原理,3273683
史记,SHUM020614
民法学Ⅱ,SPAL009412
理论力学B,6321800
城乡规划设计4-1,0973066
安全管理,2173100
摄影测量与遥感应用实习,3273677
交通设计,0571049
德语口语交际AⅢ,3273174
园林艺术与生态价值,SoAD027414
文学阅读的视野与方法,SHUM020714
马克思主义新闻观体认实习,SHUM009313
铁路调度指挥系统,0473015
施工图实习,9990522
燃烧学,2173099
电路分析AⅠ(含实验),ELEC003612
轨道工程B,0173201
多媒体技术,3273656
材料性能（双语）,1071111
知识产权法学,7047622
薪酬与绩效管理,0671004
工程分析中的计算机应用,XJME1010
轨道交通信号基础实验,3273104
信息视觉设计,08050015
数据库技术与应用,0473082
普通地质实习,FGEE008313
交通数据采集与处理技术,0573046
毕业设计（论文）-建环,3273310
电子测量基础,3273014
外国建筑史,0143000
ERP上机实验,0574001
生物材料合成实验技术,1000413
第二外语I(法语),0871060
生物化学,0873184
自动控制原理实验,3273575
边坡工程,0173063
火灾动力学（双语）,3273418
认知心理学,6773065
西方文学批评方法,3273669
西方文学经典,SoFL031614
功率半导体器件原理,08040111
铁路信号远程控制,3143350
计算机网络安全技术,3243260
绿色建筑学概论,0971014
现代企业管理与工业工程,MECE003214
中铁3+1系列讲座,0173264
城市轨道交通运营组织,0200371
英美文学作品选读Ⅰ,3273256
制度经济学,7045860
计算机控制系统实验,3143345
专业认识实习,3273543
激光加工技术,MASE005214
排球比赛组织与裁判法,PHYE001715
歌词创作与欣赏,SHUM016915
市场调研,0773050
硬核写作：为生活而表达,LIBR000715
交通社会学,2975005
工程沟通与交流技巧2,XJFY2010
高频电子技术,XJEL2140
综合商务英语AⅣ,3273353
发动机的前世今生,MECE004014
毕业设计（论文）,0273114
结构设计分析,XJCV1360
交通运输安全管理,0571077
运筹学A1,0200316
智能控制,3045400
环境经济学基础,4040625
电力系统暂态分析（含实验）,3273464
毕业设计（论文）-应用物理学,1373007
德语阅读与写作AII,0871127
水墨山水写生,0973022
有机化学AⅠ,SLSE010012
嵌入式Linux,0471067
认识实习,ELEC015613
现代通信原理C,0473061
素描人体,SoAD022612
发展心理学,CPRC001112
铁路信号基础实验,0473012
晶体管和光电器件,XJEL2240
毕业设计（论文,0273114
数字电子技术B,SIST001112
数理统计,1273003
普通物理学Ⅰ,PHYS000912
中国现当代文学Ⅱ,SHUM002412
英语演讲与辩论,SoFL006712
城乡规划设计2-2,0973063
轨道交通通信技术,0471080
CPA经济法,3273097
材料表面技术,1071010
法语中级写作II,8048534
微观经济学,SPAL001212
电气工程与智能控制概论,0373021
城市规划原理,0571115
机器人导论,MECE003514
实验力学,3271082
工程经济学,5039600
软件工程/综合程序设计实习,9990500
电子工艺实习,9990039
地下空间利用,0135200
基础日语综合训练Ⅱ,SoFL010812
传热及传质学,1000313
物联网技术与应用,3273577
法医知识与侦破案例,SLSE016815
岩土工程课程设计,0153823
药物化学A,3273617
材料科学基础BⅡ(双语),3271006
生物技术前沿,1673094
声乐主修8,0171094
统计软件应用II,9990631
操作系统原理与应用,5050257
中国哲学,SHUM022214
机械零件课程设计,0271026
地缘政治学,7001093
电子设计自动化（EDA）实验,3273579
德语口译AII,0871119
应用模糊数学,6032800
综合运输概论,0571009
运筹学基础,6041930
建筑线描表现艺术,2571197
现代汉语Ⅱ,SoFL024412
毕业实习与毕业设计,0200283
毕业设计（论文）-绘画,0973045
比较文学原理,2573035
社区心理实习与专业发展辅导,3273210
可靠性统计,1273027
工程数学与建模2,XJCV2560
深基坑工程,0173062
电工和电子技术基础,0373016
现代交换原理,3271061
实验室安全与规范(生物医学工程),MASE015213
城市局部地段测绘,9990152
英语教育和社会实践,0873163
数字电子技术C,0373002
工程材料学,1071114
外台英语听译II,0871262
大学语文（下）,05060008
风景园林设计初步,0973019
统计软件与应用（实验）,0774001
交通纵横,TRAL022114
声乐主修4,2571160
遥感技术,0153870
大学计算机基础A,0472006
房屋建筑工程概论,0152550
城市轨道交通专业英语,0583025
英语应用文读写,SoFL031314
课程设计B,9990286
药物化学实验,1674013
现代设计史,8001127
材料物理,1371028
职业安全技术,2173096
日语视听Ⅲ,8018230
艺术的修养,SHUM010714
运筹学B,SoEM001212
税法,3002513
铁路选线课程设计,0173203
园林植物应用实习,3273049
细胞生物学实验,6230630
建筑与环境,XJCV1160
媒体视听说,3273600
经典阅读,9990771
广告版式设计,2571139
程序设计能力综合训练,SIST018713
物流项目经济评价,0573035
计算机图形学实验,0474003
城市建设史与规划史Ⅱ,3273041
自行车旅行之道,PHYE000815
工程项目采购,3273093
中国古典文学与现代管理,SPAL013714
中国近现代史纲要,MARX000111
高级英语读译II,0871267
工程估价课程设计,3273616
媒介批评,2583018
电磁仿真软件应用实习,1386003
测试技术基础,0152640
民族民间艺术考察与创新设计实践,2583019
自动控制原理(含实验),3273472
非常规资源学,2173090
控制系统,XJEL2540
经贸翻译,0873125
仿真建模技术（含实验）,3273084
航空工程材料,1173038
细胞生物学,1671083
毕业设计（论文）-通信,0473111
消费者行为,5050246
数学建模B,6023200
建筑前期策划,0153851
政府公共关系学,3271087
日语精读2,0871165
计算机基础（下）,08030032
工程设计方法,0281012
供热工程,0281015
软件工程/网络软件开发实习,9990501
财务与成本管理,0681001
算法和数据结构2,XJCO2721
线性代数初步,MATH002012
制药设备与车间设计,08030115
工程估价与案例分析,0673098
铁路信号基础A,3100303
高分子科学实验EI,3273415
生化分离工程实验,1671019
电路分析与设计,XJEL1130
