西方哲学流派及其反思,MARX026614
报刊阅读,3273625
电工与电子技术,0371088
机械设计基础B,1173019
功率半导体器件工艺,08050112
系统工程(物流),0200373
合唱与指挥II,7047806
编辑设计,2583002
列车运行控制（本、研）,0473016
社会实践,SoFL020213
英语演讲,SoFL021512
人体工学与家具设计,2571198
德语中级语法AII,3273173
产品设计方法学,3273234
园林植物栽培与养护,0973038
人工智能,XJCO2611
面向对象程序设计（含实验）,3273083
公共关系与危机管理,3273453
制造技术A,3271049
日本的社会治理与创新,SoFL010215
俄语二外Ⅰ,SoFL032415
自动化控制系统,3273157
城乡规划原理Ⅱ,0971037
室内陈设设计,0973031
武术（散打）,PHYE001415
思辨与学术视听说,0872025
汽车工程与环境保护,MECE024214
工业企业防火,2171067
现场统计实践,1271017
毕业设计,XJME3890
普通生物学实验A,SLSE013612
写作Ⅱ,SHUM002012
工程英语实用口语,0173254
第二外语I(俄语),8001084
普通物理-热学,PHYS004612
家庭心理学,3273290
生物传感器原理及应用（双语）,1071082
通信原理,XJEL2430
毕业设计（论文）-公管,2673043
英语,XJFY0100
化学原理Ⅱ实验,SLSE009912
动物保护,SLSE016315
纤维艺术,13040012
化工原理及相关课程综合实践与设计,0173175
医疗仪器与人类健康,MASE018414
毕业设计（论文）-建筑学,0973039
编程实践,MATH007213
国学经典导读,SHUM021114
用户界面与软件设计,1673065
物理电子学2,XJEL1901
建筑师业务基础与法规,0981007
有限元分析,XJME3900
CPA税法,3273096
工程测量学,0153740
工程测量与施工技术,XJCV1260
电子设计自动化(EDA),3100281
插花艺术,FGEE012215
中华才艺培训,SoFL026713
基因组与蛋白组学,1673058
土木工程试验与量测技术,0174013
科研（工程）实践Ⅰ,3273512
神奇的非晶态材料,MASE005014
古代汉语2,8047340
疲劳与断裂力学,1171008
集成设计项目1,XJCV1665
经典名著导读,LIBR000215
轨道交通工程污染控制,3273276
现代起重与工程机械技术,MECE003314
材料成型技术基础,2049440
油画创作I,3271077
铁路通信信号,0583011
接触网工程,0371011
摄影测量与遥感实习,9990654
有限元基础,1173005
仪器分析实验,6200310
心理研究大数据分析,07010014
普通测量实验,FGEE000312
工程测量实习,9990004
大学物理BⅠ(双语),PHYS001412
和声学II,7047795
药理学实验,6230990
城乡认识调查研究,9990625
交替传译Ⅱ,0872006
专业方向工程实习,9990502
公共政策分析,SPAL001812
音乐生活,SHUM023214
人生发展与电影,FGEE022015
经典纪录片欣赏,SoEM016915
材料成型加工技术基础,1043845
材料力学B,6322100
竞赛类英语写作,SoFL010315
无损检测（双语）,3273849
风景园林规划设计4-2,0973075
测控网络技术,2050955
专业认识实习（机械）,9990673
浮雕创作,2583007
电脑图文设计,SHUM007012
车辆振动,0273087
公共伦理学,2671001
有限元法基础及在土木工程中的应用,0173036
人工智能导论,SIST020214
城市社会学,7047862
幸福心理学,CPRC005814
综合课程设计,3273068
地下空间维修与养护,3273392
风景园林表现实习,0973016
面向对象程序设计,XJCO1721
毕业实习及毕业设计,0273059
专业外语,0145100
广告学概论,7146861
美术写生实习,SoAD018313
市政工程,0171078
阻燃材料,08030103
高铁科技纵横,MECE001814
酒文化与养生之道,SLSE016715
数据库与程序设计实践,1271019
数学分析AⅡ,MATH009912
概率论与数理统计,6041480
建筑设计B2-1,0973059
形势与政策Ⅱ,MARX021911
地下建筑学,3273391
工程英语Ⅲ,08030089
毕业设计（论文）-金融学,0673141
毕业设计（论文）-遥感,2173077
民族民间音乐概论2,2571154
土木工程制图Ⅱ,CIVE002512
大学物理Ⅱ,3273529
市场经济的逻辑,SoEM016014
读书写作,3273819
美术Ⅱ,SoAD001812
西方文学理论前沿,3273791
高级商务英语AⅡ,3273366
移动通信,3142200
电气防火技术,4040645
英语辩论,3273624
歌唱语音,SHUM014712
学年论文K,9990457
离散数学,SIST005912
医疗器械及设计,1071084
数据库原理与应用,SoEM001012
计算机程序实习,PHYS007613
语音学,2583048
生产实习,9990610
通信系统,XJEL1420
第二外语I(日语),8001076
高级工程数学,XJEL1704
毕业设计（论文）-电气,0373019
机车车辆与列车牵引计算,0571011
化工原理,1673028
生化分离工程,1671018
CPA审计学,0673022
建筑结构设计,0173056
结构力学AI,0173177
中药药理学,1673075
毕业设计（论文）-机制,3273308
WebGIS技术与开发,2171053
单片机原理实验,3273119
中国法制史,SPAL009212
汽车文化,MECE024315
学年论文,3273515
初级德语精读Ⅱ,SoFL014212
传感器技术B,3273511
毕业设计（论文）-法语,0873152
媒介与社会,SHUM021314
工程项目评估,6200032
社会认知实践,9990640
工程经济与管理,0571047
集成设计项目3,XJCV3860
量子力学,6131600
投资与理财思维培养,SoEM017014
创新与创业,SPAL013014
国际营销,0673178
国际金融,5039300
测绘应用程序课程设计,9990693
区块链技术及应用,SIST020115
演出实践II,9990553
计算机网络与通信,3273628
道路勘测设计,0173168
基础日语Ⅱ,SoFL010712
古代汉语Ⅳ,0871031
地基处理,0173061
物资采购与管理,3273451
材料成型加工基础（双语）,3273729
形势与政策5,7001154
行车组织课程设计,0583015
普通生物学(双语),SLSE013512
房屋建筑学,0971091
办公自动化实习,9990081
增材制造,XJME3775
电子技术B,3273128
通信工程实验,3143332
J2EE体系结构及程序设计,0471046
思考设计,FGEE021714
焊接基础实验II,3273196
社会实践,3273588
毕业设计（论文）-城规,0973040
复变函数A,3271018
对外汉语课堂教学设计和方法,0873046
ERP实习,9990249
工程CAD制图,2173095
电机学B实验,3273489
机械课程设计,0273101
计算机网络（含实验）,3273074
城乡社会综合调查研究,0971035
普通物理-电磁学,PHYS004712
英语翻译实践,9990516
理论力学M,MECH008912
交通设备控制导论,MECE000614
集成电路设计,XJEL3285
电子线路CAD,9990279
中国现当代文学作品选读,7202000
计算机编程实习,TRAL016813
药物分离工程,1673070
测量实习,0171104
中级口笔译实践,0873129
国际商务,0673170
城轨交通供电系统（含实验）,3273479
发动机设计,08020074
生产实习,3273650
水工程与岩土工程学,XJCV2470
电工基础,3045420
大学生心理健康,CPRC006214
心理学研究方法,CPRC000812
整合营销传播,8001006
法语初级视听Ⅱ,SoFL017812
马克思主义经典著作选读,3273401
包装设计,3273237
现代交流调速系统（含实验）,3273465
数据结构,3273551
课程设计,9990195
交通运输安全技术,0571076
生物学原理实验,SLSE010312
商业插图,7047676
毕业设计（论文）-数学,1273039
钢琴主修8,2571165
语言学概论,8040800
创新创业,0371104
生物信息学综合实验,1673067
刑事诉讼法学,7023500
建筑造型基础,SoAD004212
统计软件实习,0671046
工程英语阅读AII,3273610
学术讲座,3273785
设计思维,SoAD015312
城轨控制中心行车调度实验,3273450
中药学,08020119
随机过程B,6041630
毕业设计（论文）-环境工程,2173073
桥梁规划与总体设计,0173143
生产实习与综合课程设计,0281048
程序设计与算法语言,MATH001112
形体舞蹈Ⅱ,SHUM012012
硬质景观,0153883
理论力学AⅠ,MECH001712
毕业设计（论文）-环境设计,0973042
国际贸易业务实训（2）,0673158
电路和电子技术基础,0371085
工程力学,XJME2610
中国古代文学4,8047020
土建工程基础,2173003
西方当代建筑思潮（双语）,3273504
基础法语Ⅱ,SoFL017612
毕业设计（论文）-视觉,0973043
法律文书,2973008
电工实验与电子工艺实习,0271043
制造技术B,0273100
建筑设计B2-2,0973060
生物医学基础实验Ⅱ,MASE012712
毕业设计（论文）-安全工程,0573051
工程力学C,1171001
网络编程技术,0473010
生产与项目管理实习,9993204
电子市场调查实践,ELEC010513
经济与贸易类新生研讨课,SoEM000914
钢琴即兴伴奏2,8000993
轨道交通现状及前沿技术,MECE003114
数据库原理与应用,0341552
建筑表现实习,9990626
自动控制原理D,0471042
软件设计实习,SIST004913
数字系统EDA仿真设计,0473105
材料力学AⅡ,1173002
体育Ⅳ,9010140
工程制图,0112400
城市轨道交通运营管理,0583023
比较政治学,SPAL005512
风景园林规划设计4-1,0973074
语言学概论,3273581
基础化学（下）,07020009
民事审判程序模拟(实验),0771007
西方思想史经典阅读A,3273636
材料结构分析基础,1371039
摄像与编辑实习,0773039
高等数学Ⅱ,MATH011512
模拟电子技术A实验,0471031
药剂学实验,6230750
电力系统分析B,3273243
人格心理学,CPRC001012
城市轨道交通列车运行控制系统（ATC）,3273345
材料科学基础AⅡ,3271005
高级英语2,8047241
轨道交通无线通信技术,0473103
展示空间设计,0973033
保险学原理A,5050000
城乡规划管理与法规,0973013
传播研究方法,2583004
互联网+电商与创业管理,SoEM016514
建构实习,SoAD004613
音乐与人生,SHUM021514
公共传播中的语言艺术,LIBR000315
设计与制造1,XJME1206
重构跨界视野 共创智美未来,MYSC003415
英美国家概况,0875002
建筑构造Ⅰ,SoAD002012
交通基础设施防灾减灾导论,CIVE002314
毕业设计（论文）-日语,0873153
自我管理能力训练与养成,CIVE022514
第二外语III(法语),0873067
铁路站场课程设计,0583017
分子模拟与计算机辅助药物设计,1673009
日语二外Ⅱ,SoFL032915
热流体2,XJME2670
建筑环境与能源技术,MECE004114
毕业设计（论文）-成型,1073031
城轨线路课程设计,0173204
数学建模A,1271045
材料热处理（双语）,1071029
专业实习,9990538
认识实习,3271066
材料物理性能,3273061
数据库与数据分析,TRAL011112
人因工程学,2173101
全球运营管理,0673152
企业实践,0173265
人工智能基础设计实习,SIST008913
第二外语III(日语),0871208
计算机控制系统,0471012
电子工艺实习D,9990061
专题训练(法理、民法、诉讼法专题),0771005
物流工程制图,0573034
课外研学（语言翻译）,0873149
中国人文地理与区域发展,SPAL008215
地铁文化漫谈,CIVE022014
运筹学实验,2871009
专业基础实验Ⅰ,6120910
高级语言程序设计,SIST000812
数字电子技术实验B,3273522
毛泽东思想和中国特色社会主义理论体系概论Ⅱ,01020002
通风工程,3273549
3D技术与创新,MECE024514
对外汉语教学实践Ⅱ,9990710
日语视听Ⅰ,SoFL010912
德汉互译AII,0871117
焊接结构综合实验,1074007
问卷调查与数据分析,0873162
可持续景观与环境生态修复,3273046
工程实习,0471053
缆索承重桥梁,0173142
综合德语AIV,3273172
信息检索,LIBR000514
汽车电子及新能源技术,MECE000314
网络,XJCO2221
ASIC设计原理实验,0474018
土木工程制图及计算机绘图,CIVE000612
马克思主义发展史,3273403
英语基础写作Ⅱ,SoFL028212
社区心理学,3273216
城市轨道交通安全,0571027
经济法,5023600
空气调节,3273184
天然药物工程与技术,1673069
车辆有限元法,3271051
民族理论与民族政策（下）,01030008
形象与文字设计,2583037
建筑构成,SoAD006112
机械设计基础A,2021700
电工电子工艺实习,3273321
宏观经济学B,SoEM004312
药物合成反应实验,1674008
城市轨道交通线路规划与设计,0171068
城乡规划原理Ⅳ,0971079
电子设计项目,XJEL1801
城轨交通牵引系统及控制（含实验）,3273649
计算机组成原理,3273573
毕业设计（论文）-管信,0673142
机械制图A,2050720
电子实习,9990534
西方政治思想史,7047760
铁路信息系统架构,0473021
工程实习,3271023
建筑表达方法,SoAD003112
概率论与数理统计,MATH001612
计算机网络实验,1571015
生命科学导论,SLSE015814
机械振动,3273158
专业外语（建筑）,8048504
中国文化概论,SoFL000412
道路工程,0171069
钢琴主修4,2571163
毕业设计（论文）-工商,0673143
生态环境与绿色高分子材料,MASE005114
中国宗教文化,SHUM023415
初级德语语法Ⅱ,SoFL014312
GIS数量分析方法与应用,3273580
中国人的历史：《国史大纲》导读,PHYS009814
中药分析,6200317
CMF应用与设计,08040014
西方文论,2573037
毕业设计（论文）-材料,1073030
生物综合技能实验Ⅰ,1674025
工程训练综合E,9990677
超声电子技术与应用,1383012
大气污染控制工程I,2173093
程序设计训练Ⅱ,1173007
计算力学,1173026
路基路面工程,0173169
数字电子技术B实验,ELEC017412
钢结构设计原理,0171060
中国特色社会主义理论,7047917
数字电子技术实验,SIST001212
全球化与中国文化,SoFL031814
材料失效分析,1071005
古埃及象形文字探秘,SoFL010115
创新训练课,1173059
体育Ⅲ,9010130
觉知、聆听与创变的U型体验与感悟,MYSC002015
道路工程材料,0152950
电机学AI实验,3273490
艺术考察实习,0971100
高层建筑结构设计,0142000
高分子与现代生活,MASE001014
计算流体力学,1173049
医药学基础,SLSE007012
移动通信与无线通信网络,3273814
叙事学导论,2573032
城乡基础设施规划,0973009
建筑力学2,0971060
阅读与欣赏,LIBR000614
材料创造发明探秘,MASE001114
财务管理基础,0583029
数据结构B,3271035
地下工程,0171070
电路理论,08040040
遥感应用实习,9990652
ASIC设计原理,0473118
产品摄影,2571193
风景园林环境认识实习,9990672
人事心理学,6773011
人机工程,3273879
影视摄制实习,3273017
药物合成反应,6200337
学年论文B,9990107
运动、科技与智慧人生,PHYE000715
中国艺术歌曲的美,SHUM022014
电工技术A,3046104
变革与创新管理,2673020
风景园林规划设计2-1,0973070
声乐副修Ⅱ,SHUM015813
学术实习,3273802
生物工程设备及工厂设计概论,1673049
工程化学,FGEE001512
德语翻译实践,9990639
建筑结构课程设计,0173135
植物生物学,6230933
城市轨道交通高架结构设计与施工,0173044
测控系统设计与实践,3273149
国际贸易实务,5039400
中级汉语,05040009
以项目驱动的机械创新设计与实践,ENTC000615
速写风景写生实习,SoAD025313
基础英语听译Ⅱ,SoFL021212
基础工程基本原理,XJCV3510
体育赛事赏析,PHYE001115
宏观经济学A,SoEM001712
列车运行控制（本研衔接课）,08020081
生物学原理Ⅱ,SLSE010212
毕业设计（论文）-交通运输,0573052
化工原理,1671011
精品中药欣赏,SLSE015714
天然药物工程与技术实验,1673072
英语口语,SoFL001012
生产实习,0571105
经济学建模实习,0673165
人际沟通心理学,3273420
动物生物学,6230380
第二外语III(德语),0871209
城市轨道交通行车组织课程设计,0583026
商务笔译Ⅱ,3273370
文化产品开发与设计,2583034
水力学及给水工程,2173097
色彩风景写生实习,0973028
铁道概论,0210100
演出实践Ⅰ,9995289
电子工艺实习,0371117
数字电子技术A,3143250
电波传播,6100135
数学建模实践,1271012
生物工程实验,1674030
论文阅读,0883004
结构设计原理B,2171016
科学技术史,SHUM022414
职场英语,0871112
材料科学基础实验方法Ⅱ,1073023
环境保护与可持续发展,FGEE021814
塑性力学,6331600
社区管理概论A,7001036
服务营销,0673015
自动控制原理A,3273105
普通心理学导论,0873180
心理学英语论文写作（双语）,6773040
网球,PHYE001215
土木工程概论与铁道工程认识实习,CIVE014913
电子实习,1086001
英语Ⅰ,8010210
微机原理（含实验）,3273473
学术讲座,3273784
钢桥及组合结构桥梁,0173051
城轨供电系统,0373023
标志设计,7047674
仪器分析,1671046
数据库,XJCO1121
水彩实习,9990146
轨道交通信号基础,3273103
钢琴主修Ⅱ,SHUM013112
投资学,0673161
高级英语读写II,0871257
发酵工程实验,6230830
心理危机干预技术,3273293
功率半导体器件封装设计,08050113
英语说明文写作,SoFL007112
形式逻辑,SPAL005812
化工原理课程设计,08020130
生物综合技能实验Ⅱ,1674026
应用写作,MECH004415
远动监控技术（含实验）,3273641
毕业设计（论文）-制药工程,1673096
视唱练耳Ⅱ,SHUM010812
航空物流规划与设计,0583001
MATLAB上机实习,PHYS003113
发电厂电气部分（含实验）,3273463
微机与接口技术实验,6100131
城市轨道交通基础设施与设备,0583018
微机与接口技术,3273576
高速铁路规划与选线(MOOCS),3273894
企业资源计划（ERP）,0244557
毕业设计,XJCO3931
毕业设计（论文）-会计,0673144
高级英语Ⅱ,8038020
面向对象程序设计实验,0471005
生物医学综合实践,1086004
操作系统（含实验）,0371040
人力资源管理,5049380
环境监测,4040460
材料成型控制综合实验,1081031
学年论文A,9990103
土木工程地质,0153830
普通地质学(含实验),FGEE006412
电工技术与电子工程实验,2171008
商务英语听说Ⅳ,3273357
供应链管理,2871012
环境工程微生物学实验,2171059
法语文学选读II,0871077
高等数学CⅡ,MATH002412
分子生物学实验,1674012
MCU系统综合实验,3273075
卫星定位技术与方法,0341410
学年论文,3273675
固体废物处理与处置,4040618
材料力学AⅡ,6322020
专业实习E,9990256
国际商务沟通及谈判Ⅰ,0173262
材料成型专业实习,9990535
岩土工程勘察及现场测试技术,0173194
中外经典电影音乐赏析,SHUM023014
玩转知识产权,SPAL013915
土木工程概论与道桥工程认识实习,CIVE017013
商务翻译实践,3273384
专业实习,0475006
合唱与指挥Ⅳ,0773052
结构力学AⅠ,6335010
国际金融B,5050337
数学物理方法,1371020
中级法语II,0873138
与新媒体共舞：大学生网络素养提升,SoEM016814
计算结构动力学,1173014
测绘学漫谈,FGEE017814
现代通信原理B,0473060
运筹学,0673136
有限元分析,0281053
基础工程,0171074
中国传统文学经典作品选读Ⅳ,0871034
ERP原理及其应用,5049530
大学物理AⅠ,PHYS000512
专业外语,1371003
初级口笔译实践,SoFL023813
社会治理的广义情报技术体系,LIBR000814
摄影测量学基础,2173059
药理学A,1671079
土木工程概论A,0152270
金属材料过去-现在-未来,MASE000814
地下工程课程设计,0153821
建筑工程,0171075
快题实习,3273050
环境工程原理I,3273189
微分几何,1273006
城乡生态与环境规划Ⅱ,0971068
地下水动力学B,0341450
城市轨道交通综合监控及系统集成,3273347
媒介经营与管理,2583016
技术经济学,0571008
钢琴主修6,2571164
毕业设计（论文）,0873150
传播受众调查实习,0773040
专业认识实习,SLSE009113
景观植物基础,0971071
环境与工程遥感,2171048
物理化学B,SLSE001912
毛泽东思想概论A,7045270
物理化学A实验,SLSE001712
离散数学A,SIST001512
法语高级阅读写作II,3273181
传热学A,3273547
毕业设计（论文）-工业工程,0273116
景观工程与管理,0971056
电子工艺实习,0471110
形势与政策2,7001151
三维设计与制图,0273108
路网规划与系统选型,3273653
工程地质学,0173001
岩石力学,0173195
有机化学基础,MASE000512
普通心理学,FGEE022315
毕业设计（论文）-思想政治教育,0173209
中医药与健康生活,SLSE016615
复调音乐基础2,2571151
公共政策分析（实验）,0774004
经济学原理A,SPAL005912
概率论与数理统计A,MATH001712
固体力学,XJME1230
建筑设计快题训练,0971034
振动与控制,XJME2620
结构设计2,XJCV3165
普通物理实验Ⅰ,PHYS005012
土木工程概论与城市地下空间工程认识实习,CIVE018813
毕业设计（论文）-生医,1073032
哲学导论,3273422
聚合物共混改性,1071008
广告策划与设计,2583010
第二外语III(俄语),0873068
计算机图形学,3232400
供应链系统设计,0583032
日语会话Ⅰ,SoFL011312
自动控制原理A,3142870
设计与制造2,XJME2636
机械精度设计与检测基础,3271050
消防给水工程,2051041
安全心理学,0571074
比较思想政治教育,3273404
日语跨文化交际,SoFL011612
模拟电子技术A实验,3274001
数码摄影,SHUM006912
细胞工程,1673053
统计学原理与应用,2673025
翻译理论与实践AII,3271088
程序设计基础,ELEC011212
宋词之美,SHUM021714
管理经济学,SoEM016114
商务英语Ⅱ,0173266
电子实习,9990157
英语应用文写作,8048437
概率论与生物统计,SLSE013312
计算机控制技术（含实验）,0371047
结构力学D,6335300
岩土工程,0152290
毕业设计（论文）,0473109
药理学B,3273859
智能建筑,0981010
焊接结构,0173213
建筑设计基础Ⅱ,SoAD001912
法语中级视听II,8048530
工效学与作业设计,3273129
单片机原理与应用,0473094
理论力学,3273510
普通生物学实验B,SLSE003212
心理统计学,CPRC000912
遥感原理与应用,2171040
外国法制史A,7047625
心理学导论Ⅱ,CPRC000612
药剂学A,3273860
汉译英基础笔译,3273167
城轨供变电技术(含低压配电),3273692
应用光学,1383008
俄语二外Ⅱ,SoFL032515
数学建模B,MATH002212
编译原理,3273526
EAP员工援助计划,3273209
土地管理与地籍测量,0153100
毕业设计（论文）-音乐,0773046
德语阅读与写作AIV,3273176
现代通信原理,3133000
外语强化实习,9990694
毕业设计（论文）-工程管理,0673146
交通工程学,0573045
日汉笔译,0871237
生产实习,9990495
品牌广告战略,2571112
工程测量C,FGEE016612
中药炮制学,1673076
轨道交通建设与装备,MECE001314
分子模拟与计算机辅助药物设计实验,1674023
城市公共艺术设计,0973024
计算机网络,3241400
古建筑测绘实习,9990145
空气动力学,1173041
书籍设计,3273235
半导体物理,0473049
微生物学A,1671080
焊接无损检测及服役安全评价,MASE005514
粉末冶金原理,08020018
数字通信原理A,3273587
对外汉语教学概论,0873041
精密工程测量与变形监测,3273188
材料工程检测技术,1083002
交通运输专业基础实验,0583014
偏微分方程,1273032
证据法学,7633220
物流成本管理（会计）,3273621
器乐主修Ⅱ,SHUM013812
功能高分子材料,1071006
铁道信号与列控概论,SIST019612
概率论与数理统计,1271006
工程热力学与传热学实验,6341588
项目管理概论,2673011
风景园林规划设计2-2,0973071
高速铁路运营与维护（MOOCS）,3273898
日文写作II,8048453
专业实习,3273634
微处理器和可编程逻辑,XJEL2665
热流体3,XJME3496
日语语言实践,SoFL013813
材料性质：水、土、钢、木,XJCV1460
高级语言程序设计实验,0474025
多媒体技术,3273527
广播电视学,7047821
财务管理,5048400
电气测量技术（含实验）,3273455
电子测量技术（含实验）,0371005
心理健康教育实验技能训练,3273206
线性代数B,MATH000112
振动力学,6332200
城市与轨道交通,MECE002014
企业内部创业,2671012
欧盟与中国,SoFL031514
物流学,0571111
俄罗斯影视欣赏,SoFL032315
毕业实习,0771009
智能生活与未来世界,MASE005414
形势与政策6,7001155
测度与概率基础,1273011
诺贝尔文学奖作家作品,SHUM020814
毕业设计（论文）-商务英语,05080001
市场营销渠道,3273090
日语精读综合训练2,0871234
交通运输安全系统工程,0571073
人机工程实验,3273880
图形创意,7047669
计算机处理器,XJCO1212
合唱体验与艺术实践,SHUM022614
综合英语BⅡ,SoFL020612
影视艺术概论,2573061
物联网技术与应用实验,0473068
测试技术基础（全英文）,3273538
交通运输安全法规,0571075
外国文学史Ⅱ,7046240
西方现代化视角下的英美文学,SoFL004515
穿戴式移动医疗,MASE012414
毕业设计（论文）-测控,3273309
数据库技术与应用实验,0474020
认识实习,MASE008713
专题研讨班Ⅰ,MATH011213
刑事审判程序模拟(实验),0771006
城市轨道交通控制,0473062
高铁经济学导论,SoEM014614
数字图像处理（含实验）,0371053
毕业设计（论文）-政治学与行政学,2673045
魅力器乐,SHUM022914
建筑法与房地产法理论与实践,7001121
商务综合操作实务,3273385
歌曲作法2,2571083
制药工程综合实验,1673048
中外美术史,2571204
交通管理与控制,3273008
健康与疾病,SLSE015614
计算方法,1673087
专业外语（景观）,8048506
信息论与编码,0471105
网络广告设计与制作,2571111
道路工程,0232600
热流体1,XJME1215
城轨车站运作管理实验,3273449
电力电子装置与控制,0383011
面向对象程序设计,0471004
德语词汇学,0873064
产品设计程序实习,9990555
数字电子和微控制器,XJEL1620
毕业实习与毕业设计（土木）,0100812
经济学智慧与中国实践,SoEM015914
锅炉与锅炉房设备,2050020
马克思主义基本原理,7001062
列控与调度系统实验,0173207
综合英语Ⅳ,8011340
交通系统仿真实验,0571123
建筑设计A6-2,0973058
生物医学工程实验安全与规范,1081057
大学物理实验Ⅰ,PHYS000712
建筑设计A2-1,0973049
桥梁工程A,3273644
信号与系统（含实验）,3273471
微波遥感原理与应用,2171057
思想道德修养与法律基础,MARX000411
团体与艺术心理辅导,07010013
生产实习,9991633
交通规划与建模,XJCV2080
艺术概论,3273514
列车运行控制系统,0473076
广告文案写作,2573120
交通工具设计,2573045
中华名相之管仲管理思想,SHUM020914
泛函分析,1273002
人机交互技术,0471076
办公空间设计,7001216
EDA技术,3273138
魅力物理,PHYS009614
媒介实习,3273803
项目管理软件,0673067
多媒体技术及应用,0471018
社会学概论,MARX022712
计算机网络工程实验,0471024
高级语言程序设计,0471078
自动控制原理B,3143160
管理学原理B,3273506
自动控制原理实验A,3143337
城乡规划设计4-2,0973067
工程数学,XJME1520
生物医学工程基础,1043921
材料分析测试,1073029
商务英语写作Ⅱ,3273361
舞蹈鉴赏与训练,SHUM023114
电子系统设计与实践,ELEC017815
高端机械装备漫谈,MECE003614
刑法学Ⅱ,SPAL009312
多元统计,6041932
城乡规划设计2-1,0973062
西方哲学专题,3273799
城乡道路与交通规划Ⅰ,0973010
电路分析BⅡ,3006655
毕业设计（论文）-电信,1373006
政治学原理,SPAL000112
美国文学史,3273668
对位法基础II,7042266
电磁场与电磁波,3120247
认识实习,SPAL011913
网络思想政治教育,3273405
体育（下）,07020005
工程实习,3273499
半导体物理,08030114
网络与新媒体概论,SHUM007112
数学建模C,MATH001812
化学原理Ⅱ,SLSE009712
环境监测实验,4040611
纳米科技与生活,MYSC000715
组织传播,3273569
汽车构造与道路基础,0571069
宪法与行政法,SPAL001612
击剑（重剑）,PHYE001315
社会调查实习,0671047
制药企业见习,9990572
认识实习G,9990156
设计基础,SoAD015212
科技德语,0871142
专业实习,9990533
信息系统项目管理,5000640
高等数学Ⅰ,MATH000812
嵌入式系统项目,XJEL2645
机械工程制图综合实践A,9990487
软件工程导论,1571014
德文办公自动化,SoFL017213
状态监测与故障诊断,3273143
